node,obs_st,time
55,0,0
9,0,0
20,0,1
244,0,1
247,0,2
28,0,2
73,0,3
229,0,3
101,0,4
3,0,4
298,0,5
110,0,5
276,0,6
326,0,6
288,0,7
93,0,7
315,0,8
210,1,8
138,0,9
51,0,9
279,0,10
161,0,10
100,0,11
254,0,11
274,0,12
288,0,12
25,0,13
197,0,13
251,1,14
248,0,14
301,0,15
327,1,15
323,1,16
172,1,16
295,1,17
163,0,17
64,1,18
222,0,18
46,0,19
324,0,19
325,1,20
267,0,20
262,0,21
141,1,21
81,1,22
15,1,22
19,0,23
191,1,23
206,0,24
184,0,24
105,0,25
19,0,25
163,1,26
321,1,26
99,1,27
199,0,27
286,0,28
271,1,28
7,1,29
65,0,29
164,0,30
311,1,30
196,1,31
98,0,31
123,1,32
315,1,32
185,1,33
166,1,33
274,0,34
127,0,34
147,0,35
84,1,35
240,0,36
102,1,36
