node,obs_st,time
188,0,0
42,0,0
233,0,1
165,0,1
273,0,2
94,0,2
312,0,3
102,0,3
171,0,4
253,0,4
30,0,5
160,0,5
9,0,6
140,0,6
319,0,7
153,0,7
73,0,8
218,0,8
41,0,9
148,0,9
48,1,10
244,0,10
151,0,11
213,0,11
325,0,12
100,1,12
298,0,13
191,0,13
304,1,14
154,0,14
178,0,15
98,0,15
173,0,16
76,0,16
65,0,17
279,0,17
179,0,18
176,0,18
138,0,19
248,0,19
37,0,20
240,0,20
270,1,21
39,0,21
151,0,22
13,0,22
322,0,23
180,1,23
287,0,24
134,0,24
139,0,25
227,0,25
20,0,26
224,0,26
93,1,27
94,0,27
293,0,28
300,0,28
33,0,29
138,0,29
85,0,30
287,0,30
151,0,31
191,1,31
166,0,32
78,1,32
305,0,33
87,1,33
279,0,34
83,0,34
76,0,35
251,0,35
40,0,36
149,0,36
