node,obs_st,time
271,0,0
7,0,0
183,0,1
312,0,1
114,0,2
143,0,2
224,0,3
219,0,3
269,0,4
310,1,4
151,0,5
291,1,5
141,0,6
23,0,6
12,0,7
221,1,7
12,0,8
100,0,8
81,0,9
75,0,9
78,0,10
99,1,10
90,0,11
254,1,11
156,0,12
57,0,12
179,0,13
158,0,13
230,1,14
126,0,14
191,0,15
184,0,15
241,0,16
245,0,16
327,1,17
286,0,17
23,1,18
231,0,18
98,1,19
28,0,19
297,1,20
226,0,20
39,0,21
187,0,21
140,1,22
44,1,22
114,0,23
97,1,23
311,1,24
33,0,24
244,0,25
273,1,25
117,0,26
163,0,26
211,0,27
6,1,27
39,1,28
318,1,28
281,1,29
45,1,29
141,0,30
42,1,30
172,0,31
120,1,31
121,1,32
77,1,32
76,0,33
30,0,33
262,0,34
51,1,34
162,1,35
185,0,35
49,1,36
62,1,36
