node,obs_st,time
288,0,0
10,0,0
174,0,1
182,0,1
165,0,2
44,0,2
196,0,3
264,0,3
188,0,4
11,0,4
10,0,5
111,1,5
313,0,6
55,0,6
262,0,7
89,0,7
85,0,8
221,0,8
184,1,9
157,0,9
244,1,10
253,1,10
303,0,11
108,1,11
293,0,12
314,0,12
300,0,13
139,0,13
238,1,14
251,0,14
259,0,15
323,0,15
245,1,16
270,1,16
135,1,17
231,0,17
293,0,18
210,0,18
147,1,19
106,1,19
249,1,20
214,1,20
229,1,21
186,1,21
176,0,22
67,1,22
113,1,23
272,1,23
100,1,24
293,1,24
227,0,25
291,1,25
205,1,26
117,1,26
139,0,27
256,0,27
228,1,28
45,1,28
6,1,29
99,1,29
218,1,30
280,1,30
316,1,31
123,1,31
35,1,32
81,1,32
38,0,33
158,1,33
33,0,34
325,1,34
155,0,35
217,0,35
207,1,36
7,1,36
