node,obs_st,time
61,0,0
301,0,0
130,0,1
30,0,1
289,0,2
273,0,2
0,0,3
147,0,3
19,0,4
314,0,4
108,0,5
11,1,5
219,0,6
206,1,6
10,0,7
133,0,7
115,0,8
312,0,8
299,0,9
97,1,9
164,0,10
44,0,10
222,0,11
271,1,11
233,0,12
314,0,12
128,0,13
75,0,13
246,1,14
36,0,14
295,0,15
171,0,15
123,1,16
100,0,16
190,0,17
77,0,17
15,0,18
191,0,18
61,0,19
178,0,19
167,0,20
307,0,20
209,0,21
317,0,21
319,0,22
3,1,22
46,0,23
190,0,23
172,0,24
182,0,24
174,0,25
75,0,25
4,0,26
160,0,26
252,0,27
148,0,27
101,0,28
188,0,28
151,0,29
252,0,29
10,0,30
161,1,30
204,1,31
178,0,31
279,0,32
181,0,32
307,0,33
306,0,33
102,0,34
86,0,34
289,0,35
117,0,35
222,0,36
320,0,36
