node,obs_st,time
59,0,0
27,0,0
322,0,1
107,0,1
23,0,2
114,0,2
303,0,3
143,0,3
280,0,4
236,0,4
82,1,5
79,0,5
48,0,6
86,0,6
110,0,7
195,0,7
127,0,8
240,0,8
292,1,9
211,0,9
274,0,10
118,0,10
321,1,11
65,0,11
9,0,12
152,0,12
312,0,13
37,0,13
176,0,14
139,0,14
92,0,15
149,0,15
142,0,16
123,1,16
165,0,17
152,0,17
246,1,18
141,0,18
21,0,19
251,0,19
116,0,20
286,0,20
203,0,21
304,1,21
209,0,22
252,1,22
293,0,23
97,1,23
199,0,24
55,0,24
55,0,25
85,0,25
284,0,26
235,0,26
4,0,27
290,1,27
164,0,28
256,0,28
288,0,29
324,0,29
324,0,30
111,0,30
79,1,31
285,0,31
150,1,32
134,0,32
270,1,33
275,1,33
33,0,34
277,1,34
243,1,35
231,1,35
39,0,36
281,1,36
