EPI,EPI_corr,MF_tau3_d8,MF_tau5_d12,MF_tau6_d16,sib
0.9538926681783825,0.9655741084312514,0.37727616299044875,0.30835566549852267,0.3203806775235347,0.9804851233422662
0.999164210618924,0.999164210618924,0.4267804513262658,0.3714863854308714,0.36977081775392606,0.9990762327893371
0.9901185770750989,0.9923194394538268,0.5966582824290334,0.5945247933884299,0.5582779374775422,0.9989220265900107
0.8688088088088087,0.9091891891891891,0.7979979979979981,0.6645645645645645,0.6706506506506507,0.9414614614614614
0.9699371177534671,0.9691618571797742,0.4773882332672926,0.4131708157464037,0.39288483073477476,0.9735550004307003
0.6558823529411765,0.9602100840336134,0.6864705882352942,0.5667016806722689,0.5575420168067227,0.9792016806722689
0.9738516718731922,0.9696286011801458,0.24106213120444295,0.24106213120444295,0.24106213120444295,0.9805623047552933
0.9783471074380166,0.9796694214876034,0.4648760330578512,0.4925619834710744,0.3780165289256198,0.9716528925619835
0.991748973702394,0.9913831646547169,0.47392594399057025,0.3904401902207048,0.3892614721781896,0.9932935007925863
0.9846887876816308,0.9846887876816308,0.4801344610713511,0.3385599653003687,0.36412925612665364,0.9895467360659294
0.9996645581751964,0.9998562392179413,0.8612708453133986,0.6871525781100248,0.6830314356910102,0.9998562392179414
0.9607237422771403,0.9619495930175541,0.38050406982445817,0.29361576934392464,0.294792586054722,0.9660684515053446
0.9493670886075949,0.9543459915611814,0.4475105485232068,0.35561181434599154,0.3724472573839662,0.9726582278481014
0.982567287784679,0.9826915113871635,0.6133954451345756,0.5590062111801242,0.5531262939958592,0.9812422360248447
0.9471807065217391,0.9414628623188406,0.669327445652174,0.6653079710144927,0.6653079710144927,0.9193840579710145
0.967741935483871,0.9670060100576475,0.543480927266037,0.4850975101189746,0.4854654728320863,0.9594014473200049
0.9995871559633027,0.9996788990825688,0.7659633027522936,0.6863761467889908,0.7079357798165138,0.9996788990825688
0.9994567579313343,0.9999456757931334,0.8553889613211647,0.7040688830943069,0.7201488483268145,1.0
0.9897426095820591,0.9912716615698267,0.3274401121304791,0.3136467889908257,0.3312308868501529,0.9900611620795107
0.9979384843737116,0.9979384843737116,0.7253236579533272,0.6676218355735138,0.692875401995547,0.9983095571864434
0.9928701120410965,0.9950843629600107,0.7380541162924582,0.5589876444798725,0.5328594836366857,0.997652894025951
0.994811320754717,0.994811320754717,0.3477122641509434,0.34433962264150947,0.48924528301886794,0.9935377358490566
0.9996971532404604,0.9993337371290127,0.7366444579043004,0.523137492428831,0.5283464566929135,0.9994548758328287
0.9733511586452763,0.9899286987522282,0.4650623885918004,0.4331996434937611,0.5156417112299465,0.980169340463458
0.9986263736263735,0.9992216117216117,0.6005494505494505,0.6131868131868132,0.541025641025641,0.9991758241758242
0.9757799205899036,0.9817356778218945,0.396596710153148,0.3503119682359614,0.3467385138967669,0.9847986386840613
0.9784466911764705,0.9767922794117647,0.4301930147058824,0.3476102941176471,0.32215073529411764,0.9793658088235294
0.9976455199476782,0.9977327229125791,0.6724656638325704,0.5420100283409636,0.5172879877915849,0.9959886636145628
0.9754098360655737,0.9786534584027352,0.5565003944946085,0.31186990444463925,0.3302358201104585,0.9773384763741562
0.9904559915164369,0.9932661717921527,0.4579003181336162,0.27969247083775184,0.2949628844114528,0.994220572640509
0.8780612244897958,0.9472303206997085,0.42128279883381925,0.4654154518950437,0.4337463556851312,0.9612244897959183
0.9897941970310391,0.9851130229419702,0.4927041160593792,0.3770242914979757,0.3921643049932524,0.9908906882591093
0.9462823725981621,0.9504177109440267,0.5203007518796993,0.39252297410192144,0.3951963241436926,0.9621971595655806
0.9476891191709844,0.9572227979274612,0.7544248704663211,0.6094922279792746,0.6059689119170985,0.950300518134715
0.962113558294605,0.9596383107698524,0.4157405536472015,0.22388361285108105,0.27763184481713477,0.9873206708425945
0.9677516576250753,0.9671991159332931,0.7357594936708862,0.714511754068716,0.6477044404259595,0.9634317862165963
0.9310763888888889,0.9364149305555555,0.6022352430555555,0.3993923611111111,0.41414930555555557,0.9707031250000001
0.9680765086206897,0.97265625,0.4903690732758621,0.38267780172413796,0.38510237068965514,0.9740705818965517
0.9411926605504588,0.9411926605504588,0.6358715596330275,0.48816513761467895,0.5355963302752293,0.9990825688073395
0.9837758112094395,0.9873960847412174,0.7218423169750603,0.4742111379279521,0.6314472155180119,0.9931617055510861
0.9941223617419183,0.9935880309911835,0.2941936058420162,0.3613411701843441,0.6934277317659632,0.99091637723751
0.9628542679859131,0.9631058192185142,0.5588210632232098,0.4934387053496562,0.5301022975012578,0.9573201408686902
0.9992277992277993,0.9993564993564994,0.210006435006435,0.856016731016731,0.883944658944659,0.9991634491634492
0.9987267298911134,0.9985950122936424,0.6673691605198454,0.6014884088514226,0.5748155953635405,0.9981120477695821
0.9983108108108107,0.9983108108108107,0.5,0.6976351351351352,0.6976351351351352,0.998123123123123
0.999905303030303,0.999810606060606,0.841027462121212,0.7173768939393941,0.7099431818181818,0.9998579545454546
0.9994301744542825,0.9992110107828526,0.6400894187779433,0.6247260454107129,0.623323397913562,0.9989041816428509
0.9859169199594732,0.9845491388044579,0.447112462006079,0.41423505572441743,0.3140830800405269,0.9853090172239108
0.926578177257525,0.9383883779264216,0.5609845317725752,0.5109740802675585,0.5806333612040134,0.9572010869565218
0.9704588309239472,0.9622485857950975,0.6755971087366437,0.35307982401005655,0.4129478315524827,0.9679054054054054
0.9960946745562129,0.9962721893491124,0.9439644970414203,0.9384615384615386,0.9375147928994083,0.9966863905325443
0.9858333333333333,0.9933974358974359,0.7552564102564103,0.7070192307692309,0.8825641025641026,0.9949358974358975
0.9993093922651934,0.9991875203119922,0.5977209944751382,0.5884993500162496,0.6468150796230093,0.9996343841403964
0.9998772704958272,0.9998772704958272,0.5285959744722631,0.523379970544919,0.6673416789396172,0.9998772704958272
0.9526315789473684,0.9891472868217054,0.6052223582211342,0.4133414932680538,0.39702162382700934,0.9929008567931457
0.9484543493889288,0.9773783848550204,0.4487419122933141,0.3023244668104481,0.30706925473280616,0.9827941528876107
0.9652389819987585,0.9759244479914871,0.6328810853950518,0.5233661434778752,0.5237208477431942,0.9730868138689366
