EPI,EPI_corr,MF_tau3_d12,MF_tau3_d8,MF_tau4_d13,MF_tau4_d16,MF_tau5_d12,MF_tau6_d18,MF_tau9_d24,sib
0.9469456379600224,0.9482533158976275,0.24107976835419392,0.19022043713805342,0.3299084625443676,0.3738090790211096,0.24107976835419392,0.36589295722025034,0.32726975527741453,0.9570334391929759
0.6910383597883598,0.9634920634920636,0.3554232804232804,0.3554232804232804,0.3554232804232804,0.3554232804232804,0.3554232804232804,0.3554232804232804,0.33591269841269844,0.9881613756613756
0.9950830564784053,0.9950830564784053,0.5556367663344407,0.6288593576965671,0.5662901439645625,0.5673754152823921,0.55687707641196,0.4654485049833887,0.4271982281284607,0.9923366555924695
0.9746021274841263,0.9743959759214975,0.7006679310629174,0.7068112476292571,0.7071823204419888,0.5254391028283993,0.7071823204419888,0.4898985734311866,0.5232951265770593,0.9824358868640225
0.9740324594257179,0.9711610486891386,0.35617977528089884,0.3557428214731585,0.35106117353308364,0.3400124843945068,0.35617977528089884,0.38508114856429465,0.3478776529338327,0.9609238451935082
0.9855066496479599,0.9814303948614486,0.5776341252521925,0.4982912669329271,0.5745048791534566,0.6466216494420883,0.5718697245439947,0.6356075266603533,0.5787458311030593,0.9923004076254787
0.9973726148942585,0.9965542490416506,0.32023947969160527,0.32023947969160527,0.41198259895766043,0.7837791273635698,0.32023947969160527,0.7209803161476505,0.7212387474695267,0.993926863935909
0.9797169811320755,0.9795990566037737,0.3857311320754717,0.38938679245283025,0.39516509433962266,0.33920990566037734,0.3686320754716981,0.3108490566037736,0.3210495283018868,0.979127358490566
0.9916408793151952,0.989551099143994,0.6171281597878069,0.6235381585821644,0.6441747377727767,0.6504440782863803,0.6395531085480046,0.5676566330426396,0.5626130289756058,0.9935699071655347
0.9956996521066872,0.9949748743718593,0.32102821801314263,0.26106494008504055,0.2800057982218786,0.2825666795516042,0.280344027831465,0.3962601468882876,0.2868187089292617,0.9935736374178585
0.9993391550625442,0.999291951852726,0.7621430257257494,0.5122728345527496,0.7614585791833846,0.7614585791833846,0.7621430257257494,0.788718432853434,0.7664857210290299,0.9991503422232711
0.9546300998814965,0.967496190959878,0.5312764516675131,0.5446080920941256,0.5457508041306924,0.4710301337396309,0.5429575080413069,0.4637929575080414,0.3840147282884713,0.9757491112239716
0.9599693545297836,0.9588201493966673,0.38823980080444354,0.4065632382046862,0.3984549575432548,0.4411032369277916,0.40151950456489816,0.4249185979697376,0.38744174168422396,0.9569686522377578
0.980562248995984,0.9944578313253012,0.5957429718875502,0.6518875502008032,0.5918473895582329,0.5918473895582329,0.5801606425702811,0.5111847389558234,0.4760843373493976,0.9944578313253012
0.9578106332138591,0.9622162485065711,0.7312948028673836,0.7312948028673836,0.7312948028673836,0.7312948028673836,0.7312948028673836,0.7311081242532855,0.6783154121863799,0.9643817204301075
0.9377028714107366,0.9377028714107366,0.4920099875156055,0.45530586766541825,0.5415730337078651,0.5780898876404494,0.5141073657927591,0.544194756554307,0.5279650436953808,0.9397003745318352
0.9991526620533824,0.99919973638375,0.11754460292802338,0.11754460292802338,0.6515087322882832,0.522901661723862,0.11749752859765572,0.4892435155109919,0.5677164242338654,0.9998117026785294
0.9979157134868588,0.996085608255808,0.5232321691830614,0.5232321691830614,0.6809008184637284,0.6809008184637284,0.751004016064257,0.775380001016725,0.542753291647603,0.9988307661023842
0.9950806768988587,0.9951462678735407,0.5342712842712842,0.6486619441164896,0.5251213433031615,0.4366391184573003,0.5456513183785912,0.3745900564082383,0.37413091958546507,0.9969828151646334
